Start Latitude,Start Longitude,Ride Title,Start Time,Finish Time,Distance Ridden,Maximum Speed,Average Speed,Minimum Altitude,Maximum Altitude
51.230734,0.518395,Morning Sprint,05/02/2014 08:00,05/02/2014 09:20,15.9,13.4,12,25,50
51.230734,0.518395,Morning Sprint,06/02/2014 08:00,06/02/2014 09:20,15.9,13.4,12,25,50
51.230734,0.518395,Evening Amble,07/02/2014 18:00,07/02/2014 19:20,13.3,11.2,10,25,35
51.230734,0.518395,To the Shops!,08/02/2014 12:00,08/02/2014 13:20,10.6,8.9,8,25,50
51.230734,0.518395,Pub,09/02/2014 20:00,09/02/2014 20:20,2.5,8.4,7.5,25,60
51.230734,0.518395,Pub,10/02/2014 20:00,10/02/2014 20:20,2.6,8.7,7.8,25,60
51.230734,0.518395,Pub,11/02/2014 20:00,11/02/2014 20:20,2.6,8.9,8,25,60
51.230734,0.518395,Morning Sprint,12/02/2014 08:00,12/02/2014 09:20,17,14.3,12.8,25,50
51.230734,0.518395,Morning Sprint,13/02/2014 08:00,13/02/2014 09:20,16.6,14,12.5,25,50
51.230734,0.518395,To the Shops!,14/02/2014 13:00,14/02/2014 14:20,8.6,7.2,6.5,25,50
51.230734,0.518395,Dave's House,15/02/2014 08:00,15/02/2014 09:20,13.5,11.4,10.2,25,25
51.230734,0.518395,Kelly's House,16/02/2014 17:00,16/02/2014 18:20,11.9,10,9,25,38
51.230734,0.518395,Evening Amble,17/02/2014 19:00,17/02/2014 20:20,12.7,10.7,9.6,25,35
51.230734,0.518395,Training,18/02/2014 09:00,18/02/2014 13:20,45.9,11.8,10.6,25,100
51.230734,0.518395,Training,19/02/2014 09:00,19/02/2014 13:20,47.6,12.3,11,25,100
51.230734,0.518395,Training,20/02/2014 09:00,20/02/2014 13:20,51.1,13.2,11.8,25,100
51.230734,0.518395,Training,21/02/2014 09:00,21/02/2014 13:20,55.8,14.4,12.9,25,100
51.230734,0.518395,Training,22/02/2014 09:00,22/02/2014 13:20,56.3,14.5,13,25,100
51.230734,0.518395,Training,23/02/2014 09:00,23/02/2014 13:20,57.1,14.7,13.2,25,100
